sigma,trial,branch_type,family_distance_to_continued,within_threshold,E0,overlap
0.1,5,Type B candidate,0.10650488855287749,True,17.54275912714583,0.04080818859150616
0.1,6,Type B candidate,0.16229207606581297,True,17.554211198812197,0.03409774772430352
0.1,7,Type B candidate,0.19296459313829772,True,17.50091180844185,0.0402733998522143
0.1,8,Type B candidate,0.16023517014290503,True,17.558698911535586,0.043923396452594105
0.1,9,Type B candidate,0.19497561897298352,True,17.47901109092021,0.04902024739563675
0.1,10,Type B candidate,0.15294614236954482,True,17.55226035285621,0.030786407400753668
0.1,11,Type B candidate,0.20107406754287155,True,17.603872576074266,0.019805812228927886
0.15,0,Type B candidate,0.12595681234294367,True,17.618510302688534,0.033692590595489694
0.15,1,Type B candidate,0.16820025286821783,True,17.573516145843485,0.04299219043952162
0.15,2,Type B candidate,0.20316144762037205,True,17.5250391758966,0.040054263564962646
0.15,3,Type B candidate,0.21589180044529757,True,17.478403548179976,0.0535091669268599
0.15,4,Type B candidate,0.19731061675732023,True,17.605515310238815,0.02727888097088549
0.15,5,Type B candidate,0.13446485973494357,True,17.52746250917795,0.041841678304455635
0.15,6,Type B candidate,0.19991513667455432,True,17.546172435479534,0.03823903037169527
0.15,7,Type B candidate,0.2595219830190465,True,17.478622910965164,0.04542042548050994
0.15,8,Type B candidate,0.21471099683988812,True,17.586397705825153,0.04745363634203937
0.15,9,Type B candidate,0.22815104017847207,True,17.449789292927512,0.05755853822730754
0.15,10,Type B candidate,0.11544915432098084,True,17.557739509863467,0.030274120579145615
0.15,11,Mixed/ambiguous,0.22418749397712753,True,17.639988534190913,0.015952581549416596
0.2,0,Type B candidate,0.21383727009720085,True,17.64033996177509,0.035640845141321216
0.2,1,Type B candidate,0.19053402590325158,True,17.598774452844964,0.043312930694765106
0.2,2,Type B candidate,0.24950177680881996,True,17.666319202249593,0.03978725489135243
0.2,3,Type B candidate,0.21744788351035235,True,17.45350615188469,0.06169931224316526
0.2,4,Type B candidate,0.20200850309612345,True,17.661623225314308,0.025738819927359
0.2,5,Type B candidate,0.13615089456108564,True,17.536563103028698,0.047669419671900984
0.2,6,Type B candidate,0.23333372147603737,True,17.513065489131094,0.046437398994819225
0.2,7,Type B candidate,0.2093000245989618,True,17.456276787737323,0.05013729178275094
0.2,8,Type B candidate,0.23494767278239392,True,17.64033289219863,0.05058586062625273
0.2,9,Type B candidate,0.2828177077898896,True,17.436990914486188,0.07171848477465449
0.2,10,Type B candidate,0.12388468794961681,True,17.566451281536196,0.0306305348048084
0.2,11,Mixed/ambiguous,0.2605649286348954,True,17.646060923198796,0.02792957991330854
