key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0.1,6.60965258746734,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0.5,6.705754058622706,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,1,6.825880897566911,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,5,7.786895609120561,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,0,6.5575451966993,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,0.01,6.559225940230821,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,0.05,6.565948914356904,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,0.1,6.574352632014508,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,0.5,6.641582373275337,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,1,6.725619549851375,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.5,cand_lam0_init3,0.0,3,5,7.397916962459677,6.5575451966993,0.16807435315207547,0.03319837919497998,5.456737340109284,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,0,6.411743098446804,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,0.01,6.4186082040363175,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,0.05,6.446068626394373,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,0.1,6.480394154341942,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,0.5,6.754998377922494,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,1,7.098253657398184,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Type A candidate|co0.05|ov0.7|sep2.6,cand_lam0_init4,0.0,4,5,9.844295893203704,6.411743098446804,0.68651055895138,0.050772922258599334,2.626020140209525,Type A candidate
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,0,7.409719823921546,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,0.01,7.424316638677616,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,0.05,7.482703897701893,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,0.1,7.555687971482239,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,0.5,8.139560561725013,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,1,8.86940129952848,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Mixed/ambiguous|co0.11|ov1.5|sep3.1,cand_lam0_init5,0.0,5,5,14.708127201956216,7.409719823921546,1.459681475606934,0.10736594185267859,3.0756380525557026,Mixed/ambiguous
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,0,8.127199238743446,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,0.01,8.127671350235106,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,0.05,8.129559796201745,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,0.1,8.131920353660043,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,0.5,8.150804813326435,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,1,8.174410387909422,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.04|ov0.0|sep4.3,cand_lam1_init0,1.0,0,5,8.36325498457333,8.127199238743446,0.04721114916597705,0.036324124246648146,4.2508865774524365,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.5,cand_lam1_init1,1.0,1,0,6.316247385851108,6.316247385851108,0.002438477179781185,0.05731517685898205,5.483237813575212,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.5,cand_lam1_init1,1.0,1,0.01,6.316271770622906,6.316247385851108,0.002438477179781185,0.05731517685898205,5.483237813575212,Type A candidate
Type A candidate|co0.06|ov0.0|sep5.5,cand_lam1_init1,1.0,1,0.05,6.3163693097100975,6.316247385851108,0.002438477179781185,0.05731517685898205,5.483237813575212,Type A candidate
