config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
15x15_c0.6,15,225,0.6,-2.0,65.49999999999935,69.4999999999999,6.66699207876974,12.123449930003375,9.183884508657513,2.8806938880199215,7.9254382937136265,7.502071909011648,1.052859077602596,0.07520421982875684,9.579315568204652,-1.3049329519600443,-1.3049329519600443,0.05041519815129836,0.0,0.0,4.0,0.0,well-separated,well-separated,8.329123488378224,False,2.576651096343994
15x15_c0.6,15,225,0.6,-1.0,66.50000000000067,68.50000000000081,6.702506062588313,12.099507864762202,9.15192651455754,2.834461766067004,7.927216288572926,7.4669848154146035,1.0381738118555885,0.07415527227539918,9.583357436800123,-1.31233731003382,-1.31233731003382,0.04301084007752265,0.0,0.0,4.0,0.0,well-separated,well-separated,8.356747955419038,False,2.5791208744049072
15x15_c0.6,15,225,0.6,-0.5,66.99999999999955,67.99999999999973,6.720648708953427,12.088641704116018,9.138935798593172,2.809246077198541,7.9297922537733,7.448943890657279,1.032503875118795,0.07375027679419964,9.589332388064014,-1.3158586133739978,-1.3158586133739978,0.0394895367373449,0.0,0.0,4.0,0.0,well-separated,well-separated,8.365908549840952,False,2.5558581352233887
15x15_c0.6,15,225,0.6,0.0,67.4999999999991,67.50000000000058,6.745081089523376,12.075893082789033,9.136081293641142,2.7862065350858245,7.940581191582259,7.431049808937429,1.034648208688971,0.07390344347778365,9.592453186264146,-1.3188818449820623,-1.3188818449820623,0.036466305129280396,0.0,0.0,4.0,0.0,well-separated,well-separated,8.368364724469906,False,2.628751277923584
15x15_c0.6,15,225,0.6,0.5,67.99999999999959,66.99999999999937,6.7682943410094785,12.064328419000015,9.140945912784272,2.7640080859650165,7.9546201268968755,7.414168252482516,1.040593546030835,0.07432811043077393,9.598199507100778,-1.3210093347093776,-1.3210093347093776,0.03433881540196504,0.0,0.0,4.0,0.0,well-separated,well-separated,8.366901350742044,False,2.63576078414917
15x15_c0.6,15,225,0.6,1.0,68.50000000000092,66.50000000000061,6.791637680341472,12.053408281966039,9.150435267912709,2.7435029358406746,7.97103647412709,7.398455608903356,1.0496088349245711,0.07497205963746936,9.60407536480975,-1.3226537851756095,-1.3226537851756095,0.03269436493573319,0.0,0.0,4.0,0.0,well-separated,well-separated,8.363728827527677,False,2.6651949882507324
15x15_c0.6,15,225,0.6,2.0,69.5000000000003,65.5000000000001,6.872629905998761,12.02442218078582,9.177327144998113,2.7053873333865686,8.024978525498437,7.364904757086194,1.087996534680641,0.07771403819147436,9.599793739997377,-1.328350345783893,-1.328350345783893,0.026997804327449693,0.0,0.0,4.0,0.0,well-separated,well-separated,8.344851298769928,False,2.6400771141052246
15x15_c0.6,15,225,0.6,3.0,70.4999999999993,64.50000000000087,6.978394945799238,11.99165309547373,9.202467805287089,2.6686495848722047,8.090431375543163,7.330151340172967,1.1393158000251562,0.08137970000179687,9.584617600248787,-1.3366156834491534,-1.3366156834491534,0.018732466662189307,0.0,0.0,4.0,0.0,well-separated,well-separated,8.292875535070362,False,2.6089839935302734
20x20_c0.5,20,400,0.5,-3.0,96.9999999999996,103.00000000000007,13.91580790132517,15.005286594170622,5.608965879346414,4.078473459054318,9.762386890335792,9.54188002661247,0.26570814223344397,0.013984639064918104,13.72584677416524,-2.220809701810399,0.920782951779394,0.029162348752183487,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.160245056832958,False,2.8545620441436768
20x20_c0.5,20,400,0.5,-2.0,97.99999999999959,101.99999999999963,13.89871557259013,14.826770574120808,5.617271706405368,4.046633439675953,9.757993639497748,9.436702006898381,0.26564516549710926,0.013981324499847856,13.593883519664502,-2.2258523608164893,0.9157402927733038,0.024119689746093353,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.244027450352718,False,2.869879722595215
20x20_c0.5,20,400,0.5,-1.0,98.99999999999928,100.99999999999991,13.860681370922896,14.786466516635235,5.600319241803032,4.043879987687021,9.730500306362963,9.415173252161129,0.2456134531786464,0.012927023851507706,13.55126369886356,-2.2263067729752057,0.9152858806145874,0.02366527758737691,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.272430466327982,False,2.865534782409668
20x20_c0.5,20,400,0.5,-0.5,99.50000000000021,100.5000000000002,13.84193563707955,14.770700216048914,5.568909032932296,4.060917041414238,9.705422335005922,9.415808628731575,0.22200568171860602,0.011684509564137158,13.533012408204474,-2.2285261874819584,0.9130664661078347,0.02144586308062424,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.32127997302441,False,2.8828749656677246
20x20_c0.5,20,400,0.5,0.0,100.0,99.99999999999957,13.824532426980632,14.755300067862517,5.536901412445011,4.073199131075165,9.680716919712822,9.41424959946884,0.2000293385024925,0.010527859921183816,13.520063175030137,-2.2306327195833773,0.9109599340064158,0.01933933097920537,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.347727100054337,False,2.863816261291504
20x20_c0.5,20,400,0.5,0.5,100.50000000000023,99.49999999999993,13.807658551196127,14.749882697769081,5.495448756258919,4.092542191329364,9.651553653727523,9.421212444549223,0.170809803149794,0.008989989639462842,13.515610912764942,-2.2331925287913,0.9084001247984932,0.016779521771282724,0.0,0.0,3.0,0.0,well-separated,well-separated,15.355594161943124,False,2.9045228958129883
20x20_c0.5,20,400,0.5,1.0,100.9999999999992,98.99999999999966,13.789882852230068,14.736685134632896,5.477326799063785,4.085051161049552,9.633604825646927,9.410868147841224,0.160607398663323,0.008453020982280157,13.511324673925436,-2.233472486214035,0.908120167375758,0.01649956434854749,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,15.360716886341734,False,2.9529201984405518
20x20_c0.5,20,400,0.5,2.0,101.99999999999937,98.0000000000007,13.758863061929542,14.710348489117884,5.4455566858644415,4.047252818996894,9.602209873896992,9.37880065405739,0.15854381028269637,0.008344411067510335,13.520823649928937,-2.232994700969739,0.9085979526200543,0.016977349592843805,0.0,0.0,3.0,0.0,well-separated,well-separated,15.365349297414081,False,2.806535005569458
20x20_c0.5,20,400,0.5,3.0,102.99999999999989,97.00000000000024,13.716093628001227,14.699396090794702,5.400493828469779,4.029305672705878,9.558293728235503,9.36435088175029,0.14764430918094454,0.007770753114786554,13.527750350895687,-2.232810483781561,0.9087821698082319,0.01716156678102143,0.0,0.0,3.0,0.0,well-separated,well-separated,15.362841933895327,False,2.810232162475586
20x20_c0.6,20,400,0.6,-3.0,117.0000000000004,123.00000000000034,13.64280645708325,4.294209392224039,6.200071749111671,15.060442100110443,9.92143910309746,9.677325746167242,0.4572256968646459,0.024064510361297153,13.088394349713328,2.1756618596513886,-0.9659307939384045,0.010256143044187649,0.0,0.0,3.0,0.0,well-separated,well-separated,13.680638443183078,False,2.907944917678833
20x20_c0.6,20,400,0.6,-2.0,118.00000000000034,122.00000000000054,13.599852799516253,4.302962865692298,6.185283231736721,15.083245540915092,9.892568015626487,9.693104203303696,0.4374915773206075,0.02302587249055829,13.08397250200225,2.173280503011517,-0.9683121505782761,0.007874786404316048,0.0,0.0,3.0,0.0,well-separated,well-separated,13.682627813066247,False,2.887012243270874
20x20_c0.6,20,400,0.6,-1.0,118.99999999999986,120.99999999999902,13.563657452730371,4.3158009641998225,6.168638781066864,15.10462809327023,9.866148116898618,9.710214528735026,0.4222020743668759,0.022221161808782943,13.079949998957089,2.171678765103536,-0.969913888486257,0.006273048496335143,0.0,0.0,3.0,0.0,well-separated,well-separated,13.682569265665027,False,2.8929011821746826
20x20_c0.6,20,400,0.6,-0.5,119.50000000000072,120.5000000000002,13.546189540756957,4.322328622086258,6.158789975097986,15.114776342533315,9.852489757927472,9.718552482309786,0.4147459667887527,0.021828735094144878,13.078631432274603,2.1710417338388703,-0.9705509197509228,0.005636017231669399,0.0,0.0,3.0,0.0,well-separated,well-separated,13.682399553840245,False,2.924715995788574
20x20_c0.6,20,400,0.6,0.0,119.99999999999929,119.99999999999976,13.528936851257743,4.328693298186601,6.14753793130085,15.124303625077175,9.838237391279296,9.726498461631888,0.40707012415680366,0.021424743376673876,13.077853506810941,2.170526504202894,-0.9710661493868993,0.005120787595692899,0.0,0.0,3.0,0.0,well-separated,well-separated,13.682154870364759,False,3.0156867504119873
20x20_c0.6,20,400,0.6,0.5,120.50000000000072,119.49999999999929,13.51198649341855,4.334877464432791,6.134720123126009,15.133359077883146,9.82335330827228,9.734118271157968,0.3992101287049511,0.02101105940552374,13.077892194626575,2.1701417341789386,-0.9714509194108545,0.004736017571737694,0.0,0.0,3.0,0.0,well-separated,well-separated,13.681942046895621,False,3.0153448581695557
20x20_c0.6,20,400,0.6,1.0,121.00000000000043,119.00000000000018,13.494984724720345,4.340826230388529,6.121850773469156,15.142586262670552,9.808417749094751,9.74170624652954,0.3918461656927012,0.02062348240487901,13.078269153756482,2.1697394238828287,-0.9718532297069644,0.004333707275627763,0.0,0.0,3.0,0.0,well-separated,well-separated,13.681844708350749,False,3.302855968475342
20x20_c0.6,20,400,0.6,2.0,121.99999999999986,117.99999999999996,13.463994708755457,4.353728808732205,6.100805983710082,15.16546777621014,9.78240034623277,9.759598292471171,0.38358992297287464,0.020188943314361822,13.080911577620123,2.16868140088345,-0.9729112527063433,0.0032756842762489136,0.0,0.0,3.0,0.0,well-separated,well-separated,13.682370320254826,False,2.9405360221862793
20x20_c0.6,20,400,0.6,3.0,123.00000000000098,116.99999999999999,13.436908228172983,4.369121243109578,6.126343661244447,15.2244039374923,9.781625944708715,9.796762590300938,0.409122485003206,0.02153276236858979,13.087456462666687,2.163485110860458,-0.9781075427293353,-0.0019206057467431314,0.0,0.0,4.0,0.0,well-separated,well-separated,13.661211761157045,False,3.1417269706726074
