key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.05|ov3.7|sep1.6,cand_lam0.1_init21,0.1,21,0.05,30.640849494641266,30.455693126868866,3.703127355447991,0.04685381086947658,1.5626989396525297,Type A candidate
Type A candidate|co0.05|ov3.7|sep1.6,cand_lam0.1_init21,0.1,21,0.1,30.826005862413666,30.455693126868866,3.703127355447991,0.04685381086947658,1.5626989396525297,Type A candidate
Type A candidate|co0.05|ov3.7|sep1.6,cand_lam0.1_init21,0.1,21,0.5,32.30725680459286,30.455693126868866,3.703127355447991,0.04685381086947658,1.5626989396525297,Type A candidate
Type A candidate|co0.05|ov3.7|sep1.6,cand_lam0.1_init21,0.1,21,1,34.158820482316855,30.455693126868866,3.703127355447991,0.04685381086947658,1.5626989396525297,Type A candidate
Type A candidate|co0.05|ov3.7|sep1.6,cand_lam0.1_init21,0.1,21,5,48.97132990410882,30.455693126868866,3.703127355447991,0.04685381086947658,1.5626989396525297,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,0,28.484448273969242,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,0.01,28.535179121262495,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,0.05,28.738102510435503,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,0.1,28.991756746901764,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,0.5,31.020990638631858,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,1,33.55753300329447,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.03|ov5.1|sep1.2,cand_lam0.1_init22,0.1,22,5,53.84987192059539,28.484448273969242,5.073084729325229,0.027776203512459446,1.1828769554637604,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,0,29.813996594918237,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,0.01,29.866919208255496,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,0.05,30.078609661604524,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,0.1,30.34322272829081,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,0.5,32.4601272617811,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,1,35.10625792864397,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.07|ov5.3|sep0.2,cand_lam0.1_init23,0.1,23,5,56.27530326354691,29.813996594918237,5.292261333725735,0.07066754065531702,0.19599446562411926,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,0,32.35342403408148,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,0.01,32.3548980051537,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,0.05,32.3607938894426,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,0.1,32.36816374480372,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,0.5,32.427122587692665,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,1,32.500821141303845,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.03|ov0.1|sep4.1,cand_lam1_init0,1.0,0,5,33.09040957019332,32.35342403408148,0.14739710722236968,0.03266827318264559,4.12028926629757,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,0,32.068121350261634,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,0.01,32.069613326672446,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,0.05,32.075581232315706,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,0.1,32.08304111436978,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,0.5,32.14272017080234,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,1,32.21731899134305,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.01|ov0.1|sep6.8,cand_lam1_init1,1.0,1,5,32.81410955566872,32.068121350261634,0.14919764108141817,0.013275227594984238,6.826455247001456,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,0,30.628274739035966,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,0.01,30.629332483564234,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,0.05,30.6335634616773,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,0.1,30.638852184318633,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,0.5,30.681161965449306,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,1,30.73404919186265,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.06|ov0.1|sep3.4,cand_lam1_init2,1.0,2,5,31.157147003169374,30.628274739035966,0.10577445282668194,0.06015451649656217,3.407780116849837,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,0,33.568043681976164,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,0.01,33.57015955383165,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,0.05,33.578623041253586,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,0.1,33.589202400531,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,0.5,33.673837274750355,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,1,33.779630867524546,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep3.2,cand_lam1_init3,1.0,3,5,34.62597960971806,33.568043681976164,0.21158718554837835,0.03766452592583687,3.170651258666246,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,0,32.66124799066675,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,0.01,32.662918843756664,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,0.05,32.669602256116306,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,0.1,32.677956521565854,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,0.5,32.74479064516226,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,1,32.82833329965777,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.04|ov0.2|sep1.8,cand_lam1_init4,1.0,4,5,33.49667453562186,32.66124799066675,0.16708530899102125,0.03581420659434151,1.844470381245133,Type A candidate
Type A candidate|co0.03|ov0.2|sep1.7,cand_lam1_init5,1.0,5,0,38.02090498382488,38.02090498382488,0.19391964950033602,0.02892443897312037,1.6969297527026517,Type A candidate
Type A candidate|co0.03|ov0.2|sep1.7,cand_lam1_init5,1.0,5,0.01,38.02284418031988,38.02090498382488,0.19391964950033602,0.02892443897312037,1.6969297527026517,Type A candidate
Type A candidate|co0.03|ov0.2|sep1.7,cand_lam1_init5,1.0,5,0.05,38.03060096629989,38.02090498382488,0.19391964950033602,0.02892443897312037,1.6969297527026517,Type A candidate
Type A candidate|co0.03|ov0.2|sep1.7,cand_lam1_init5,1.0,5,0.1,38.04029694877491,38.02090498382488,0.19391964950033602,0.02892443897312037,1.6969297527026517,Type A candidate
