ratio,seed,energy,Bind,Sep_new,Sep_old,Inside,u_std,converged,n_iter
0.01,4,24.923640556169413,0.8532789453188988,0.5001637747270411,0.920624894450307,0.995668995548315,0.4643839468821714,True,61
0.01,5,20.589530593625245,0.8529488815628807,0.5001334519600623,0.9399315442247986,0.995696084177395,0.4719082789599101,True,54
0.01,6,20.568232953297027,0.8529803731686905,0.5001329677853452,0.9396708680642277,0.995692954030131,0.47186356710582134,True,59
0.01,7,20.58953059362596,0.8529488819604827,0.5001334519868649,0.9399315444414786,0.9956960844538326,0.47190827866741075,True,56
0.01,8,24.923640556169175,0.8532789528420122,0.5001637779313713,0.9206248900197815,0.9956689784235457,0.46438393699275654,True,54
0.01,9,18.640119812501297,0.8524819146969436,0.5001179468021137,0.9503941037433685,0.9957144828210919,0.47575248729896563,True,31
0.1,0,20.85609138808832,0.8522641833291491,0.5004155352487443,0.9415936067484738,0.9963985299118727,0.4731815816660399,True,53
0.1,1,20.856091388086988,0.8522641826237659,0.5004155302622758,0.9415936021327235,0.996398536620768,0.4731815824731554,True,52
0.1,2,20.835956953073204,0.8522941834204191,0.5004255687566393,0.9413371276580285,0.9963849174997195,0.4731364928770868,True,65
0.1,3,20.95745474387541,0.8536856537289872,0.5048210799545912,0.94298964218846,0.9887808542085972,0.4706542218963222,False,93
0.1,4,20.85609138808903,0.8522641836595617,0.5004155326128802,0.941593603748029,0.996398533866639,0.47318158127178667,True,44
0.1,5,20.837310781066087,0.8522453816092275,0.5004753781044414,0.9410568607298364,0.9963512479441025,0.47312342194937396,True,52
0.1,6,20.856091388087766,0.8522641876237709,0.500415529863299,0.941593592430402,0.9963985307399846,0.47318157311601466,True,47
0.1,7,20.837310781064502,0.8522453959239361,0.5004753789029273,0.9410568314677071,0.9963511843093562,0.4731233941514176,True,54
0.1,8,20.856091388087428,0.8522641833917012,0.5004155321140805,0.9415936032792773,0.9963985345275912,0.47318158131218935,True,42
0.1,9,18.859852390004377,0.8517689669095153,0.5002318042948455,0.9519434556130115,0.9966286563327446,0.4770632504083905,True,25
1.0,0,23.43638687338572,0.8527984081440882,0.50562595817852,0.9456130612490707,0.986689456261025,0.47214202282972945,False,448
1.0,1,23.436386869163034,0.8527984084575965,0.5056259695909239,0.9456130833693451,0.9866894165249878,0.4721420180584107,False,275
1.0,2,23.437977776604015,0.8528204691624132,0.5057085709107951,0.9456132813624808,0.986266713540447,0.47207850657150624,False,79
1.0,3,23.436386790805482,0.852798403323924,0.5056259044570198,0.9456129842198273,0.9866896334811669,0.47214205080714133,False,271
1.0,4,20.81881739859982,0.8487436150467771,0.5009656510416463,0.9582800116848015,0.9994891325013606,0.48244796752086344,False,1000
1.0,5,25.99368017999612,0.8531941311159674,0.5052623534718902,0.9359926312995888,0.9871202843450113,0.4684938461771034,False,80
1.0,6,20.818830080300508,0.8487442121640512,0.5009656561241171,0.9582790410843427,0.9994917921620111,0.48244707244932045,False,1000
1.0,7,23.433125965870726,0.8528270557282946,0.5060317100895186,0.9456631666068948,0.98657699773309,0.4720234406432788,False,293
1.0,8,30.527896303940615,0.8518297217479435,0.5026344755485119,0.9196751537086071,0.9888759703691588,0.46402120733013136,False,173
1.0,9,20.81881742123978,0.8487436140856374,0.5009656556408555,0.9582800168425087,0.9994893154916566,0.4824479659876109,False,1000
10.0,0,102.99887570583635,0.8273148265877655,0.506910869735611,0.9029974795746186,0.9877992725249869,0.4666933942755657,False,1000
10.0,1,102.35006574188264,0.8252108106465086,0.5067125681057832,0.9054011113473464,0.9901079644069255,0.469622008730328,False,1000
10.0,2,70.444815556922,0.8542297242267369,0.5146644924029657,0.9231301626911284,0.9508229543792834,0.45438930983883896,False,1000
10.0,3,64.82811820493855,0.8517293367134786,0.51932420590062,0.9313199840921994,0.9519056374819084,0.4583761574517776,False,1000
10.0,4,60.60870516167019,0.8515077839689136,0.5166824151447634,0.9366676882342319,0.959403872382337,0.4623676298027311,False,1000
10.0,5,61.73431831870053,0.8518982078780286,0.5197772882608553,0.9355657666418611,0.9518269588987974,0.45948896249869237,False,1000
10.0,6,50.22478024746326,0.8531815717329887,0.5167192092576334,0.9483897532642125,0.959438705070845,0.46584358660875574,False,1000
10.0,7,52.770401991171525,0.8604576718997279,0.5359404486408927,0.9483355434930698,0.9069459354510754,0.4480959247274857,False,330
10.0,8,48.30273098020791,0.8571641461232002,0.5287704338687902,0.9529855379653804,0.9259059576818955,0.4571450498387064,False,617
10.0,9,68.39108426437903,0.8515678548447813,0.5218277216888981,0.9261207333800027,0.9543861123251223,0.4558294299513856,False,1000
100.0,0,652.2536414918487,0.8353239130561836,0.5289928960579835,0.8826905643437647,0.9701121376203308,0.436656684013576,False,1000
100.0,1,656.509731014881,0.8348478579774039,0.5318837602537493,0.8821688452987668,0.960503621932491,0.4349461389090416,False,1000
100.0,2,654.8581113626154,0.8347244145238957,0.5313743247348188,0.8824777742170811,0.9515593127573317,0.43549386344310576,False,1000
100.0,3,652.245338598925,0.8318450368837598,0.535165329632873,0.8833502349965231,0.8327514070218363,0.4357526414280969,False,1000
100.0,4,609.516864108351,0.825888872049025,0.5328614137196895,0.8918141116598217,0.9475508287024206,0.4474350489945869,False,1000
100.0,5,628.8237177627809,0.8272878076107686,0.5330784712736959,0.8882705080707042,0.8735552254423359,0.44328709228478175,False,1000
100.0,6,615.018446971138,0.8266277173585164,0.5303090371268302,0.8906816918606854,0.9614619782976346,0.44735161546747354,False,1000
100.0,7,564.4293917296451,0.8420432818402463,0.5425448589381141,0.899733367018284,0.8829767414693006,0.43078427679564546,False,1000
100.0,8,608.6808302039868,0.8283723308440885,0.5437310623531032,0.8921119437583941,0.9015815956967521,0.4398055046138455,False,1000
100.0,9,605.4536417714183,0.8400518255153957,0.5417851878030334,0.8914945947036714,0.79377003379973,0.4305800000364521,False,1000
1000.0,0,5950.31763242306,0.8083745152975972,0.5283115370700572,0.88268400367348,0.9341037210617096,0.4619214374319609,False,1000
1000.0,1,6042.370387098038,0.8055689432976416,0.5306701425185015,0.8808952712126441,0.9180159162807867,0.46183413021299896,False,1000
1000.0,2,5926.812932316309,0.8034779495725273,0.5312284677435011,0.8832299416539366,0.9117186863460646,0.46479955763894637,False,1000
1000.0,3,6339.845624300664,0.8116014820692095,0.5331702268451878,0.8749063176182487,0.9186788193772303,0.4519276844554848,False,1000
1000.0,4,6324.735884818594,0.8108977569171875,0.5343896189551656,0.8752083218559596,0.9269327870833398,0.45214264963758727,False,1000
1000.0,5,6005.585543278707,0.8039377899886766,0.5324302498193534,0.8816519072039922,0.9107276718908162,0.462765782995131,False,1000
1000.0,6,6005.825347675594,0.8040505968849508,0.5322576867352967,0.8816427014650412,0.9165448500833097,0.46277864200469176,False,1000
1000.0,7,6400.625960604788,0.8092774780929815,0.5325282032657954,0.8737152995617802,0.8923067361918658,0.4529147859427443,False,1000
1000.0,8,6339.322005032534,0.8110406947768566,0.533319847079695,0.8749001282251649,0.9201594383394704,0.4527214196559842,False,1000
1000.0,9,5873.4742309431795,0.810303349704798,0.5254454894989062,0.8841475024779204,0.9673154761652097,0.46404629430176675,False,1000
10000.0,0,60819.29363418816,0.8065481684397311,0.53069051816757,0.8785365076090454,0.8672569475045042,0.45924136404566945,False,1000
10000.0,1,43698.460298893944,0.8100799929392195,0.5134918290735436,0.9127325274657764,0.9974746395595034,0.48277804467543073,False,1000
10000.0,2,43698.390502148795,0.8100800423092693,0.5134915772273787,0.9127326667928386,0.9974755584829137,0.4827782118080697,False,1000
10000.0,3,48539.17733492392,0.8172549189569059,0.5281955737294296,0.9030543580381937,0.8933606153488953,0.46607968282541434,False,1000
10000.0,4,49394.16537042863,0.8199190077454207,0.5306498428299862,0.9013436822655888,0.8864293608707738,0.4614019811961579,False,1000
10000.0,5,48238.15660432545,0.8162519609603391,0.52732636943089,0.9036566175459595,0.8990455836902944,0.4677777727445572,False,1000
10000.0,6,66582.76953266753,0.8048567852697409,0.5294795253443161,0.8670140644478246,0.9434056884380302,0.45715028265698576,False,1000
10000.0,7,49123.42125419898,0.8192047216912018,0.5299261376610533,0.90188541693941,0.889068446778306,0.46271417521028174,False,1000
10000.0,8,57908.24513041173,0.7976886909207012,0.5116814281647214,0.8843463947749369,0.9823288489994145,0.4836931689768443,False,1000
10000.0,9,42681.72043745124,0.8242564114898577,0.532566800442994,0.9147583324398759,0.8963009342944769,0.4615127296653937,False,1000
100000.0,0,659563.240520664,0.7969013820430378,0.5200325572496743,0.8681055081665917,0.955128396052244,0.4715029736435991,False,875
100000.0,1,531030.3864753181,0.7976619779248488,0.5200479672198374,0.8938097913343429,0.9900986031759932,0.48554806341509343,False,841
