grid,n,beta_bd,c,a_cl,energy,converged,Bind,Sep,Inside,n_core,delta_min,delta_max,delta_mean,n_deep,deep_mass_frac,u_min,u_max,u_std
10x10,100,10.0,0.4,3.0,2.5014183453399763,True,0.8390191255272076,0.9091413721730571,0.8808320583306635,33,1,4,2.182,23,0.6960014251128916,0.0,0.9342755868685144,0.4272856716918987
10x10,100,10.0,0.4,3.5,2.0084827994989456,True,0.8627335880624812,0.9207331173725141,0.9523986360133011,30,1,3,2.000,20,0.6656189405667287,0.0,0.9745186635152854,0.4469093955291763
10x10,100,10.0,0.4,3.9,1.7269135752689952,False,0.8867802946122645,0.9223264570553935,0.9332311676227699,32,1,4,2.125,22,0.686459366084936,0.0,0.9623996184660182,0.4433484214524195
10x10,100,10.0,0.5,2.0,4.267098452368686,True,0.7823310462439955,0.9098201397525335,0.7806221766430801,0,nan,nan,,0,0.0,0.0,0.8988969291895074,0.4013014690399149
10x10,100,10.0,0.5,3.0,3.1537884664618865,True,0.8345522089915136,0.9160120233205108,0.9262478704835695,41,1,6,2.707,30,0.7292080761767619,0.0,0.97179495577194,0.44074251123611496
10x10,100,10.0,0.5,3.5,2.652489494746429,True,0.8623704388368648,0.9219827000432139,0.9537413066675514,41,1,6,2.707,30,0.7300747562078463,0.0,0.985287279314804,0.4497445317705234
10x10,100,10.0,0.5,3.9,2.3567101442021383,True,0.882284734139755,0.9256170586103856,0.9708462957570925,41,1,6,2.707,30,0.7308636570666168,0.0,0.9934520517853294,0.45547743977667676
10x10,100,20.0,0.3,2.0,4.947163697368985,True,0.7480635428222091,0.8926870173777658,0.9264472526318267,22,1,5,2.318,15,0.6763953206668305,0.0,0.9635211199153171,0.4129867458048335
10x10,100,20.0,0.3,3.0,2.965214635123679,True,0.8166864106174146,0.9328637539960263,0.9956974710936034,28,1,3,1.929,18,0.6557778059997136,0.0,1.0,0.43645342994145997
10x10,100,20.0,0.3,3.5,2.5859396496866838,False,0.8517014371879672,0.9178976058667653,0.971072796659004,26,1,4,1.962,16,0.6213120068110493,0.0,0.9926300579245619,0.4302247917054803
10x10,100,20.0,0.3,3.9,2.27619530662936,False,0.8735630491073374,0.9140319043635798,0.9885099730563754,24,1,5,2.500,17,0.7089379896507068,0.0,1.0,0.4333726648316228
10x10,100,20.0,0.4,2.0,4.679484662309911,True,0.7577369411133549,0.8969863629626524,0.9148792019700942,30,1,3,2.000,20,0.6660660817083973,0.01890846624490141,0.9525122442790603,0.4314981533464893
10x10,100,20.0,0.4,3.0,3.0614835266370015,True,0.8256583026566464,0.926204610677639,0.947900888509087,33,1,4,2.242,23,0.6987771902394212,0.0,0.9720249493361678,0.4515936741864078
10x10,100,20.0,0.4,3.5,2.5282181878693595,True,0.8559205910426083,0.9311034100309086,0.9614592099576278,32,1,4,2.219,22,0.6879544543292845,0.0,0.9802641554441858,0.4563180558966245
10x10,100,20.0,0.4,3.9,2.217353724973949,False,0.8770006561349272,0.9330710256578921,0.9768993024734695,35,1,5,2.343,25,0.720412567309179,0.0,0.9896221929512153,0.46026014406592586
10x10,100,20.0,0.5,2.0,5.200303320068305,True,0.7577078802348586,0.9160914412715481,0.894291168098098,41,1,6,2.707,30,0.7291140182706155,0.0,0.9546244462735409,0.43787985047721684
10x10,100,20.0,0.5,3.0,3.499807694206672,True,0.8239225726113991,0.9296931938765368,0.9657985764014198,43,1,6,2.837,32,0.7469931249818568,0.0,0.9908809713757166,0.4595182533100416
10x10,100,20.0,0.5,3.5,2.9590476107271018,True,0.8530122162340461,0.9334845052407671,0.9852992925985645,44,1,6,3.045,34,0.7773276005799838,0.0,1.0,0.46615848511417823
10x10,100,20.0,0.5,3.9,2.6409413466246763,True,0.8739804593603911,0.9355856557370164,0.9898023594432286,44,1,6,3.045,34,0.7773166545725836,0.0,1.0,0.4696659943555953
10x10,100,50.0,0.3,2.0,5.135221359061412,True,0.7336368834336892,0.9199925472102225,0.9860969700985888,27,1,4,2.148,18,0.6705437893440145,0.0,0.9956849708990293,0.4336626897676444
10x10,100,50.0,0.3,3.0,3.2220580562661882,True,0.8113642384662688,0.9272094663119819,0.9914195096625094,29,1,4,2.276,20,0.6973989506908105,0.0,1.0,0.4396712339536666
10x10,100,50.0,0.3,3.5,2.6361900162449645,True,0.8434010508975848,0.9293958754013406,0.9909849038541588,29,1,4,2.276,20,0.6971105532096243,0.0,1.0,0.4415196024284574
