beta_ratio,beta,seed,energy,Bind,Sep,Inside,u_std,u_min,u_max,converged
2.0,0.7830957392775366,3,12.541870591719864,0.8899190762879959,0.5308987521381362,0.9216863532207682,0.3973792497551635,0.0,0.9224854398789942,False
2.0,0.7830957392775366,4,14.004762333209529,0.9019690911816269,0.55129751865153,0.8738305758585078,0.36223387777695765,0.0,0.8738305758585078,False
3.0,1.174643608916305,0,13.01867001101971,0.8868349883535981,0.5260226016423828,0.9349174966263483,0.4050430352519414,0.0,0.935870592525736,False
3.0,1.174643608916305,1,13.017921838515587,0.8867346189911207,0.5260561823470062,0.9352371482653552,0.4052577371811126,0.0,0.9361323249321872,False
3.0,1.174643608916305,2,13.017108415615759,0.8865813394730727,0.5260344412315768,0.9357644639552126,0.40559044225188523,0.0,0.9365896366471057,False
3.0,1.174643608916305,3,13.018670011019623,0.886834988353589,0.5260226016423851,0.9349174966263788,0.40504303525196106,0.0,0.9358705925257614,False
3.0,1.174643608916305,4,13.017084303611554,0.8865708624469042,0.5260328602709455,0.9358076144745913,0.40561461692395595,0.0,0.9366269741487413,False
5.0,1.9577393481938414,0,13.859105140390064,0.8810870477331815,0.5185395789860198,0.9555182272950076,0.418565672901733,0.0,0.9564522664281128,False
5.0,1.9577393481938414,1,13.859105140387463,0.8810870477331246,0.5185395789856126,0.9555182272956314,0.418565672901885,0.0,0.9564522664287667,False
5.0,1.9577393481938414,2,13.859105140392387,0.8810870477332323,0.5185395789863833,0.9555182272944511,0.41856567290159735,0.0,0.9564522664275292,False
5.0,1.9577393481938414,3,13.859105140401088,0.8810870477334225,0.518539578987744,0.9555182272923661,0.4185656729010893,0.0,0.9564522664253433,False
5.0,1.9577393481938414,4,13.859105140395126,0.8810870477332922,0.518539578986811,0.9555182272937958,0.4185656729014377,0.0,0.9564522664268421,False
10.0,3.915478696387683,0,15.544860594141447,0.8714855962535245,0.5083595397073012,0.9751817210881933,0.44004427276694885,0.0,0.9751817210881933,False
10.0,3.915478696387683,1,15.544860594142452,0.8714855962535437,0.5083595397073348,0.9751817210881338,0.44004427276690516,0.0,0.9751817210881338,False
10.0,3.915478696387683,2,15.544860594142042,0.8714855962535359,0.5083595397073215,0.9751817210881577,0.4400442727669228,0.0,0.9751817210881577,False
10.0,3.915478696387683,3,15.544860594142534,0.8714855962535453,0.5083595397073375,0.9751817210881291,0.44004427276690183,0.0,0.9751817210881291,False
10.0,3.915478696387683,4,15.54486059414161,0.8714855962535277,0.5083595397073066,0.9751817210881836,0.4400442727669417,0.0,0.9751817210881836,False
20.0,7.830957392775366,0,17.83408731310184,0.8611956195223498,0.5026158311825389,0.9940529467490096,0.4611580710957181,0.0,0.9942153498098021,False
20.0,7.830957392775366,1,17.83408731310184,0.8611956195223499,0.5026158311825387,0.9940529467490091,0.46115807109571816,0.0,0.9942153498098029,False
20.0,7.830957392775366,2,17.834087313101847,0.8611956195223498,0.5026158311825389,0.9940529467490086,0.4611580710957181,0.0,0.9942153498098021,False
20.0,7.830957392775366,3,17.834087313101843,0.8611956195223499,0.5026158311825387,0.994052946749009,0.4611580710957181,0.0,0.994215349809802,False
20.0,7.830957392775366,4,17.834087313101847,0.8611956195223499,0.5026158311825387,0.994052946749009,0.461158071095718,0.0,0.9942153498098015,False
50.0,19.577393481938415,0,29.386809602451088,0.8516385119401101,0.5046685640595563,0.9893957579463963,0.4653379308294591,0.0,0.9893957579463963,False
50.0,19.577393481938415,1,29.385492759427144,0.8516234974533201,0.5045708920653058,0.989789935563457,0.4654083369198133,0.0,0.989789935563457,False
50.0,19.577393481938415,2,29.386530168149143,0.8516316892880832,0.5046652600519098,0.9891844562126241,0.46535620013322604,0.0,0.9891844562126241,False
50.0,19.577393481938415,3,30.213773389945064,0.850577503192473,0.5012957223718888,0.9950836544648552,0.4663827521449272,0.0,0.995455457964687,False
50.0,19.577393481938415,4,29.31342697700857,0.8497407080552909,0.5030413702031734,0.996718888489271,0.46866407446219327,0.0,0.996718888489271,False
